LINE_ITEM_ID,TRANSACTION_ID,PRODUCT_ID,SKU,QUANTITY,UNIT_PRICE,LINE_TOTAL,CREATED_AT
LINE-10012-2,OFF-10012,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10013-1,OFF-10013,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-04 01:11:36.273 -0700
LINE-10013-2,OFF-10013,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10014-1,OFF-10014,P415,TZ-TSHIRT-415,1,799.00,799.00,2026-09-04 01:11:36.273 -0700
LINE-10014-2,OFF-10014,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:37.221 -0700
LINE-10015-1,OFF-10015,P520,TZ-DRESS-520,2,1899.00,3798.00,2026-09-04 01:11:36.273 -0700
LINE-10016-1,OFF-10016,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:36.273 -0700
LINE-10017-1,OFF-10017,P710,TZ-JEANS-710,1,1799.00,1799.00,2026-09-04 01:11:36.273 -0700
LINE-10018-1,OFF-10018,P810,TZ-HANDBAG-810,2,2299.00,4598.00,2026-09-04 01:11:36.273 -0700
LINE-10019-1,OFF-10019,P910,TZ-SNEAKER-910,1,3199.00,3199.00,2026-09-04 01:11:36.273 -0700
LINE-10020-1,OFF-10020,P990,TZ-JACKET-990,1,2599.00,2599.00,2026-09-04 01:11:36.273 -0700
LINE-10021-1,OFF-10021,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-04 01:11:36.273 -0700
LINE-10022-1,OFF-10022,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-04 01:11:36.273 -0700
LINE-10023-1,OFF-10023,P415,TZ-TSHIRT-415,1,799.00,799.00,2026-09-04 01:11:36.273 -0700
LINE-10024-1,OFF-10024,P520,TZ-DRESS-520,2,1899.00,3798.00,2026-09-04 01:11:36.273 -0700
LINE-10025-1,OFF-10025,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:36.273 -0700
LINE-10026-1,OFF-10026,P710,TZ-JEANS-710,1,1799.00,1799.00,2026-09-04 01:11:36.273 -0700
LINE-10027-1,OFF-10027,P810,TZ-HANDBAG-810,2,2299.00,4598.00,2026-09-04 01:11:36.273 -0700
LINE-10028-1,OFF-10028,P910,TZ-SNEAKER-910,1,3199.00,3199.00,2026-09-04 01:11:36.273 -0700
LINE-10029-1,OFF-10029,P990,TZ-JACKET-990,1,2599.00,2599.00,2026-09-04 01:11:36.273 -0700
LINE-10030-1,OFF-10030,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-04 01:11:36.273 -0700
LINE-10031-1,OFF-10031,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-04 01:11:36.273 -0700
LINE-10032-1,OFF-10032,P415,TZ-TSHIRT-415,1,799.00,799.00,2026-09-04 01:11:36.273 -0700
LINE-10033-1,OFF-10033,P520,TZ-DRESS-520,2,1899.00,3798.00,2026-09-04 01:11:36.273 -0700
LINE-10034-1,OFF-10034,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:36.273 -0700
LINE-10035-1,OFF-10035,P710,TZ-JEANS-710,1,1799.00,1799.00,2026-09-04 01:11:36.273 -0700
LINE-10036-1,OFF-10036,P810,TZ-HANDBAG-810,2,2299.00,4598.00,2026-09-04 01:11:36.273 -0700
LINE-10037-1,OFF-10037,P910,TZ-SNEAKER-910,1,3199.00,3199.00,2026-09-04 01:11:36.273 -0700
LINE-10038-1,OFF-10038,P990,TZ-JACKET-990,1,2599.00,2599.00,2026-09-04 01:11:36.273 -0700
LINE-10039-1,OFF-10039,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-04 01:11:36.273 -0700
LINE-10040-1,OFF-10040,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-04 01:11:36.273 -0700
LINE-10041-1,OFF-10041,P415,TZ-TSHIRT-415,1,799.00,799.00,2026-09-04 01:11:36.273 -0700
LINE-10042-1,OFF-10042,P520,TZ-DRESS-520,2,1899.00,3798.00,2026-09-04 01:11:36.273 -0700
LINE-10043-1,OFF-10043,P620,TZ-BELT-620,1,499.00,499.00,2026-09-04 01:11:36.273 -0700
LINE-10044-1,OFF-10044,P710,TZ-JEANS-710,1,1799.00,1799.00,2026-09-04 01:11:36.273 -0700
LINE-10045-1,OFF-10045,P810,TZ-HANDBAG-810,2,2299.00,4598.00,2026-09-04 01:11:36.273 -0700
LINE-10046-1,OFF-10046,P910,TZ-SNEAKER-910,1,3199.00,3199.00,2026-09-04 01:11:36.273 -0700
LINE-10047-1,OFF-10047,P990,TZ-JACKET-990,1,2599.00,2599.00,2026-09-04 01:11:36.273 -0700
LINE-10048-1,OFF-10048,P229,TZ-SHORTS-229,2,130.00,260.00,2026-09-04 01:11:36.273 -0700
LINE-10049-1,OFF-10049,P310,TZ-SHOES-310,1,2499.00,2499.00,2026-09-04 01:11:36.273 -0700
LINE-10050-1,OFF-10050,P415,TZ-TSHIRT-415,1,799.00,799.00,2026-09-04 01:11:36.273 -0700
