TRANSACTION_ID,CUSTOMER_ID,STORE_ID,PURCHASE_TIMESTAMP,CURRENCY,SUBTOTAL,DISCOUNT,TAX,REVENUE,PAYMENT_METHOD,CHANNEL,CREATED_AT
OFF-10025,TZ_120,STORE_MUM_01,2026-07-28 07:11:35.116 -0700,INR,499.00,49.90,0.00,449.10,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10024,TZ_119,STORE_BLR_01,2026-07-30 00:11:35.116 -0700,INR,3798.00,0.00,0.00,3798.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10023,TZ_118,STORE_MUM_01,2026-07-31 17:11:35.116 -0700,INR,799.00,0.00,0.00,799.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10022,TZ_117,STORE_BLR_01,2026-08-02 10:11:35.116 -0700,INR,2499.00,0.00,0.00,2499.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10021,TZ_116,STORE_MUM_01,2026-08-04 03:11:35.116 -0700,INR,260.00,0.00,0.00,260.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10020,TZ_115,STORE_BLR_01,2026-08-05 20:11:35.116 -0700,INR,2599.00,259.90,0.00,2339.10,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10019,TZ_114,STORE_MUM_01,2026-08-07 13:11:35.116 -0700,INR,3199.00,0.00,0.00,3199.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10018,TZ_113,STORE_BLR_01,2026-08-09 06:11:35.116 -0700,INR,4598.00,0.00,0.00,4598.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10017,TZ_112,STORE_MUM_01,2026-08-10 23:11:35.116 -0700,INR,1799.00,0.00,0.00,1799.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10016,TZ_111,STORE_BLR_01,2026-08-12 16:11:35.116 -0700,INR,499.00,0.00,0.00,499.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10015,TZ_110,STORE_MUM_01,2026-08-14 09:11:35.116 -0700,INR,3798.00,379.80,0.00,3418.20,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10014,TZ_109,STORE_BLR_01,2026-08-16 02:11:35.116 -0700,INR,1298.00,0.00,0.00,1298.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10013,TZ_108,STORE_MUM_01,2026-08-17 19:11:35.116 -0700,INR,2998.00,0.00,0.00,2998.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10012,TZ_107,STORE_BLR_01,2026-08-19 12:11:35.116 -0700,INR,759.00,0.00,0.00,759.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10011,TZ_106,STORE_MUM_01,2026-08-21 05:11:35.116 -0700,INR,3098.00,0.00,0.00,3098.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10010,TZ_105,STORE_BLR_01,2026-08-22 22:11:35.116 -0700,INR,3698.00,369.80,0.00,3328.20,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10009,TZ_104,STORE_MUM_01,2026-08-24 15:11:35.116 -0700,INR,5097.00,0.00,0.00,5097.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10008,TZ_103,STORE_BLR_01,2026-08-26 08:11:35.116 -0700,INR,2298.00,0.00,0.00,2298.00,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10007,TZ_102,STORE_MUM_01,2026-08-28 01:11:35.116 -0700,INR,629.00,0.00,0.00,629.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10006,TZ_7,STORE_BLR_01,2026-08-29 18:11:35.116 -0700,INR,4297.00,0.00,0.00,4297.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10005,TZ_6,STORE_MUM_01,2026-08-31 11:11:35.116 -0700,INR,1298.00,129.80,0.00,1168.20,CASH,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10004,TZ_4,STORE_BLR_01,2026-09-02 04:11:35.116 -0700,INR,2998.00,0.00,0.00,2998.00,CARD,offline_store,2026-09-04 01:11:35.116 -0700
OFF-10001,TZ_5,STORE_MUM_01,2026-09-03 18:30:00.000 +0530,INR,2759.00,259.00,0.00,2500.00,UPI,offline_store,2026-09-03 13:27:32.197 -0700
OFF-10002,TZ_101,STORE_BLR_01,2026-09-03 19:15:00.000 +0530,INR,1598.00,98.00,0.00,1500.00,CARD,offline_store,2026-09-03 13:27:32.197 -0700
OFF-10003,TZ_3,STORE_MUM_01,2026-09-03 21:11:35.116 -0700,INR,759.00,0.00,0.00,759.00,UPI,offline_store,2026-09-04 01:11:35.116 -0700
